;EHParameters
;numberOfBasisFunctions: 300
;Atomlab AtNo Nvalen Nzeta Nquant Ang  IP       exp1     exp2   coeff1   coeff2  
H        1      1      1     1     s  -13.600   1.3000   0.0000   1.0000   0.0000 
HE       2      2      1     1     s  -23.400   1.6880   0.0000   1.0000   0.0000 
LI       3      1      1     2     s   -5.400   0.6500   0.0000   1.0000   0.0000 
LI       3      1      1     2     p   -3.500   0.6500   0.0000   1.0000   0.0000 
BE       4      2      1     2     s  -10.000   0.9750   0.0000   1.0000   0.0000 
BE       4      2      1     2     p   -6.000   0.9750   0.0000   1.0000   0.0000 
B        5      3      1     2     s  -15.200   1.3000   0.0000   1.0000   0.0000 
B        5      3      1     2     p   -8.500   1.3000   0.0000   1.0000   0.0000 
C        6      4      1     2     s  -21.400   1.6250   0.0000   1.0000   0.0000 
C        6      4      1     2     p  -11.400   1.6250   0.0000   1.0000   0.0000 
N        7      5      1     2     s  -26.000   1.9500   0.0000   1.0000   0.0000 
N        7      5      1     2     p  -13.400   1.9500   0.0000   1.0000   0.0000 
O        8      6      1     2     s  -32.300   2.2750   0.0000   1.0000   0.0000 
O        8      6      1     2     p  -14.800   2.2750   0.0000   1.0000   0.0000 
F        9      7      1     2     s  -40.000   2.4250   0.0000   1.0000   0.0000 
F        9      7      1     2     p  -18.100   2.4250   0.0000   1.0000   0.0000 
NE      10      8      1     2     s  -43.200   2.8790   0.0000   1.0000   0.0000 
NE      10      9      1     2     p  -20.000   2.8790   0.0000   1.0000   0.0000 
NA      11      1      1     3     s   -5.100   0.7330   0.0000   1.0000   0.0000 
NA      11      1      1     3     p   -3.000   0.7330   0.0000   1.0000   0.0000 
MG      12      2      1     3     s   -9.000   1.1000   0.0000   1.0000   0.0000 
MG      12      2      1     3     p   -4.500   1.1000   0.0000   1.0000   0.0000 
AL      13      3      1     3     s  -12.300   1.1670   0.0000   1.0000   0.0000 
AL      13      3      1     3     p   -6.500   1.1670   0.0000   1.0000   0.0000 
AL      13      3      1     3     d   -0.000   0.0000   0.0000   1.0000   0.0000 
SI      14      4      1     3     s  -17.300   1.3830   0.0000   1.0000   0.0000 
SI      14      4      1     3     p   -9.200   1.3830   0.0000   1.0000   0.0000 
P       15      5      1     3     s  -18.600   1.7500   0.0000   1.0000   0.0000 
P       15      5      1     3     p  -14.000   1.3000   0.0000   1.0000   0.0000 
S       16      6      1     3     s  -20.000   2.1220   0.0000   1.0000   0.0000 
S       16      6      1     3     p  -11.000   1.8270   0.0000   1.0000   0.0000 
CL      17      7      1     3     s  -26.300   2.1830   0.0000   1.0000   0.0000 
CL      17      7      1     3     p  -14.200   1.7330   0.0000   1.0000   0.0000 
AR      18      8      1     3     s   -0.0000  0.0000   0.0000   1.0000   0.0000 
AR      18      8      1     3     p   -0.0000  0.0000   0.0000   1.0000   0.0000 
K       19      1      1     4     s   -4.340   0.8740   0.0000   1.0000   0.0000 
K       19      1      1     4     p   -2.730   0.8740   0.0000   1.0000   0.0000 
CA      20      2      1     4     s   -7.000   1.2000   0.0000   1.0000   0.0000 
CA      20      2      1     4     p   -4.000   1.2000   0.0000   1.0000   0.0000 
CA      20      2      1     3     d   -0.000   0.0000   0.0000   1.0000   0.0000 
SC      21      3      1     4     s   -8.870   1.3000   0.0000   1.0000   0.0000 
SC      21      3      1     4     p   -2.750   1.3000   0.0000   1.0000   0.0000 
SC      21      3      2     3     d   -8.510   4.3500   1.7000   0.4228   0.7276 
TI      22      4      1     4     s   -8.970   1.0750   0.0000   1.0000   0.0000 
; This is the original (and very wrong) Ti 4p parameter set
;TI      22      4      1     4     p   -5.440   0.6750   0.0000   1.0000   0.0000 
TI      22      4      1     4     p   -5.440   1.0750   0.0000   1.0000   0.0000 
TI      22      4      2     3     d  -10.810   4.5500   1.4000   0.4206   0.7839 
