# TPSA data calculated using Daylight tools and Ertl's contrib program tpsa.c
CC1=CC(=O)C=CC1=O,34.14
S(SC1=NC2=CC=CC=C2S1)C3=NC4=C(S3)C=CC=C4,25.78
OC1=C(Cl)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O,106.51
[O-][N+](=O)C1=CNC(=N)S1,82.78
NC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O,60.16
OC(=O)C1=C(C=CC=C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4Br)O)Br,87.74
CN(C)C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,37.38
CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O,77.28
CC(=NO)C(C)=NO,65.18
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,0.00
CC(C)(C)C1=C(O)C=C(C(=C1)O)C(C)(C)C,40.46
CC1=NN(C(=O)C1)C2=CC=CC=C2,32.67
NC1=CC=NC2=C1C=CC(=C2)Cl,38.91
CCCCCC[CH]1CCCCN1,12.03
O=CC1=C2C=CC=CC2=CC3=C1C=CC=C3,17.07
BrN1C(=O)CCC1=O,37.38
CCCCCCCCCCCCCCCC1=C(N)C=CC(=C1)O,46.25
C(COC1=C(C=CC=C1)C2=CC=CC=C2)OC3=CC=CC=C3C4=CC=CC=C4,18.46
CCCCSCC,0.00
CC(=O)NC1=NC2=C(C=C1)C(=CC=N2)O,75.11
CC1=C2C=CC(=NC2=NC(=C1)O)N,72.03
CCOC(=O)C1=CN=C2N=C(N)C=CC2=C1O,98.33
CC1=CC(=NC=C1)N=CC2=CC=CC=C2,25.25
C[N+](C)(C)CC1=CC=CC=C1,0.00
C[N+](C)(C)C(=O)C1=CC=CC=C1,17.07
ICCC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,0.00
CC1=CC(=C(C[N+](C)(C)C)C(=C1)C)C,0.00
C[C](O)(CC(O)=O)C1=CC=C(C=C1)[N+]([O-])=O,100.67
CC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2,17.07
ON=CC1=CC=C(O)C=C1,52.82
CC1=CC(=C(N)C(=C1)C)C,26.02
CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)[N+]([O-])=O,60.21
CC(O)(C1=CC=CC=C1)C2=CC=CC=C2,20.23
ON=CC1=CC(=CC=C1)[N+]([O-])=O,75.73
OC1=C2C=CC(=CC2=NC=C1[N+]([O-])=O)Cl,76.26
CC1=CC=CC2=NC=C(C)C(=C12)Cl,12.89
CCC(CC)([CH](OC(N)=O)C1=CC=CC=C1)C2=CC=CC=C2,52.32
ON=C(CC1=CC=CC=C1)[CH](C#N)C2=CC=CC=C2,56.38
O[CH](CC1=CC=CC=C1)C2=CC=CC=C2,20.23
COC1=CC=C(CC2=CC=C(OC)C=C2)C=C1,18.46
CN(C)[CH](C1=CC=CC=C1)C2=C(C)C=CC=C2,3.24
COC1=CC(=C(N)C(=C1)[N+]([O-])=O)[N+]([O-])=O,121.53
NN=C(C1=CC=CC=C1)C2=CC=CC=C2,38.38
COC1=CC=C(C=C1)C=NO,41.82
C1=CC=C(C=C1)C(N=C(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,12.36
C1=CC=C(C=C1)N=C(C2=CC=CC=C2)C3=CC=CC=C3,12.36
CC1=C(C2=CC=CC=C2)C(=C3C=CC=CC3=N1)O,33.12
CCC1=[O+][Cu]2([O+]=C(CC)C1)[O+]=C(CC)CC(=[O+]2)CC,45.20
OC(=O)[CH](CC1=CC=CC=C1)C2=CC=CC=C2,37.30
CCC1=C(N)C=C(C)N=C1,38.91
CC1=C(C2=CC=CC=C2)C(=C3C=CC=CC3=N1)OC4=CC=CC=C4,22.12
N#C[CH](C(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3,23.79
C[CH](C#N)N(C)C,27.03
CC(=O)[CH]1CC2=C(C=CC=C2)C1=O,34.14
O=S(CC1=CC=CC=C1)CC2=CC=CC=C2,17.07
C[CH](C1=CC=CC=C1)[C](C)(C#N)C2=CC=CC=C2,23.79
CC1=C2CCCCC2=NC(=N1)O,46.01
N(C(C1=CC=CC=C1)C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,12.03
OC1=C2C=CC=CC2=C(N=N1)C3=CC=CC=C3,46.01
CC(C)(C(N)=O)C1=CC=CC=C1,43.09
OC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,37.30
