0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.122,0.122,0.122,0.122,0.122,0.122,0.122,
0.527,0.512,0.002,0.507,0.492,0.333,0.333,0.333,0.501,0.501,0.429,0.154,0.149,0.005,0.500,0.485,0.333,0.333,0.333,0.043,0.043,2.500,0.703,0.682,0.001,0.507,0.492,0.333,0.333,0.333,0.891,0.890,0.048,0.544,0.528,0.002,0.507,0.492,0.333,0.333,0.333,0.532,0.532,0.377,0.280,0.272,0.004,0.504,0.489,0.333,0.333,0.333,0.142,0.142,1.607,0.584,0.567,0.002,0.507,0.492,0.333,0.333,0.333,0.615,0.615,0.263,0.527,0.512,0.002,0.507,0.492,0.333,0.333,0.333,0.501,0.501,0.429,1.041,0.308,1.386,1.073,0.556,1.153,1.041,0.272,0.024,0.481,0.289,0.078,0.333,0.272,0.333,0.333,0.497,0.477,0.499,0.497,0.490,0.498,0.497,0.477,0.862,0.609,0.481,0.630,0.498,0.477,1.314,0.333,1.867,1.362,0.635,1.487,1.314,
0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.325,0.325,0.325,0.325,0.325,0.325,0.325,
0.318,0.318,0.318,0.333,0.333,0.301,0.301,0.301,0.364,0.427,0.372,0.100,0.100,0.100,0.333,0.333,0.301,0.301,0.301,0.036,0.042,0.037,0.204,0.204,0.204,0.333,0.333,0.301,0.301,0.301,0.150,0.176,0.153,0.314,0.314,0.314,0.333,0.333,0.301,0.301,0.301,0.355,0.416,0.363,0.240,0.240,0.240,0.333,0.333,0.301,0.301,0.301,0.207,0.243,0.212,0.329,0.329,0.329,0.333,0.333,0.301,0.301,0.301,0.391,0.458,0.398,0.318,0.318,0.318,0.333,0.333,0.301,0.301,0.301,0.364,0.427,0.372,0.954,0.300,0.612,0.943,0.720,0.988,0.954,0.304,0.030,0.125,0.296,0.173,0.326,0.304,0.301,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.388,0.038,0.159,0.378,0.221,0.416,0.388,1.290,0.331,0.745,1.270,0.907,1.350,1.290,
1.118,0.393,0.393,0.587,0.207,1.000,1.000,1.000,0.926,0.500,0.500,0.718,0.106,0.106,0.773,0.114,1.000,1.000,1.000,0.382,0.036,0.036,0.893,0.232,0.232,0.659,0.171,1.000,1.000,1.000,0.591,0.173,0.173,1.110,0.387,0.387,0.589,0.206,1.000,1.000,1.000,0.912,0.485,0.485,0.960,0.280,0.280,0.632,0.184,1.000,1.000,1.000,0.683,0.253,0.253,1.143,0.411,0.411,0.582,0.209,1.000,1.000,1.000,0.967,0.546,0.546,1.009,0.315,0.315,0.616,0.192,1.000,1.000,1.000,0.754,0.320,0.320,1.905,0.930,1.356,1.885,1.520,1.965,1.639,1.035,0.163,0.467,1.010,0.615,1.109,0.734,1.000,1.000,0.380,0.659,0.488,0.383,0.448,0.372,0.424,0.642,0.151,0.312,0.627,0.396,0.686,0.465,3.113,1.101,1.872,3.062,2.210,3.267,2.473,
1.737,0.645,0.428,0.618,0.229,1.000,0.224,11.603,0.564,0.592,0.545,1.226,0.285,0.108,0.757,0.176,1.000,0.224,11.603,0.281,0.116,0.035,1.441,0.437,0.243,0.680,0.206,1.000,0.224,11.603,0.388,0.272,0.176,1.726,0.637,0.421,0.620,0.229,1.000,0.224,11.603,0.557,0.577,0.528,1.527,0.497,0.296,0.658,0.214,1.000,0.224,11.603,0.436,0.352,0.262,1.771,0.668,0.449,0.613,0.231,1.000,0.224,11.603,0.586,0.636,0.600,1.650,0.548,0.349,0.648,0.215,1.000,0.224,11.603,0.509,0.427,0.362,2.810,1.619,2.121,2.783,2.321,2.888,2.546,2.139,0.513,1.086,2.093,1.359,2.279,1.669,1.375,1.375,0.427,0.636,0.519,0.430,0.487,0.420,0.472,0.567,0.144,0.279,0.554,0.350,0.608,0.433,5.428,2.169,3.360,5.339,3.905,5.698,4.530,
2.193,0.900,0.529,0.605,0.248,1.000,0.208,1.000,0.553,0.488,0.322,1.636,0.485,0.172,0.714,0.211,1.000,0.208,1.000,0.308,0.142,0.034,1.866,0.656,0.320,0.657,0.231,1.000,0.208,1.000,0.400,0.260,0.117,2.180,0.890,0.521,0.607,0.248,1.000,0.208,1.000,0.547,0.478,0.312,1.959,0.726,0.379,0.639,0.237,1.000,0.208,1.000,0.441,0.318,0.165,2.231,0.928,0.554,0.601,0.250,1.000,0.208,1.000,0.572,0.520,0.352,2.120,0.797,0.443,0.631,0.237,1.000,0.208,1.000,0.517,0.384,0.227,3.621,2.292,2.841,3.591,3.064,3.712,3.361,3.609,1.157,2.030,3.540,2.440,3.819,2.984,0.593,0.593,0.408,0.570,0.485,0.411,0.459,0.401,0.446,0.454,0.161,0.259,0.446,0.308,0.481,0.376,8.275,3.585,5.262,8.142,6.044,8.677,7.094,
3.572,0.841,0.546,0.720,0.170,0.197,0.197,0.197,0.558,0.479,0.326,2.851,0.424,0.174,0.827,0.123,0.197,0.197,0.197,0.356,0.122,0.033,3.145,0.595,0.326,0.774,0.146,0.197,0.197,0.197,0.433,0.240,0.116,3.556,0.831,0.537,0.722,0.169,0.197,0.197,0.197,0.553,0.468,0.316,3.266,0.664,0.388,0.756,0.154,0.197,0.197,0.197,0.466,0.299,0.165,3.623,0.870,0.572,0.715,0.172,0.197,0.201,0.197,0.574,0.513,0.358,3.533,0.743,0.461,0.746,0.157,0.197,0.197,0.197,0.545,0.375,0.233,4.960,3.449,4.065,4.924,4.318,5.065,4.737,5.416,1.779,3.088,5.314,3.695,5.724,4.597,0.197,0.197,0.580,0.740,0.660,0.583,0.634,0.573,0.619,0.454,0.170,0.263,0.446,0.310,0.482,0.384,12.016,5.439,7.762,11.827,8.855,12.593,10.545,
3.855,1.228,0.604,0.678,0.216,0.188,0.192,0.188,0.554,0.494,0.385,3.165,0.757,0.209,0.766,0.183,0.188,0.188,0.188,0.374,0.186,0.046,3.444,0.947,0.369,0.724,0.199,0.188,0.188,0.188,0.442,0.292,0.144,3.838,1.217,0.594,0.679,0.215,0.188,0.192,0.188,0.550,0.485,0.373,3.559,1.026,0.435,0.709,0.204,0.188,0.188,0.188,0.473,0.344,0.200,3.904,1.262,0.632,0.673,0.218,0.188,0.188,0.188,0.569,0.522,0.422,3.808,1.133,0.515,0.698,0.208,0.188,0.188,0.192,0.541,0.423,0.280,5.687,4.131,4.760,5.650,5.020,5.797,5.456,7.803,3.215,4.881,7.675,5.646,8.188,6.859,0.189,0.188,0.517,0.649,0.585,0.519,0.563,0.510,0.547,0.478,0.202,0.293,0.469,0.339,0.504,0.415,16.347,7.847,10.843,16.101,12.254,17.096,14.536,
0.861,0.291,0.267,0.607,0.205,0.279,0.279,1.000,0.533,0.633,0.333,0.728,0.091,0.051,0.837,0.105,0.279,0.279,1.000,0.599,0.019,0.012,0.683,0.204,0.153,0.657,0.196,0.279,0.279,1.000,0.385,0.214,0.109,0.856,0.289,0.248,0.614,0.208,0.279,0.279,1.000,0.545,0.576,0.287,0.711,0.231,0.205,0.620,0.202,0.279,0.279,1.000,0.369,0.388,0.196,0.883,0.300,0.275,0.606,0.206,0.279,0.279,1.000,0.560,0.671,0.353,0.879,0.201,0.134,0.724,0.166,0.279,0.279,1.000,0.772,0.123,0.083,1.420,0.869,1.040,1.393,1.147,1.457,1.214,0.559,0.108,0.275,0.531,0.358,0.590,0.322,0.427,0.427,0.410,0.756,0.485,0.422,0.429,0.408,0.586,0.500,0.210,0.236,0.469,0.317,0.528,0.326,2.046,0.980,1.336,1.985,1.539,2.120,1.560,
