point-21	 0.0797	 0.2768	0
point-22	 0.0942	 0.2402	0
point-23	 0.1304	 0.2037	0
point-24	 0.1884	 0.1723	0
point-25	 0.2415	 0.1645	0
point-26	 0.2850	 0.1645	0
point-27	 0.3406	 0.1775	0
point-28	 0.3841	 0.2167	0
point-29	 0.4155	 0.2585	0
point-30	 0.4324	 0.3029	0
point-31	 0.4396	 0.3473	0
point-32	 0.4469	 0.3786	0
point-33	 0.0942	 0.2768	0
point-34	 0.1159	 0.2402	0
point-35	 0.1473	 0.2167	0
point-36	 0.1763	 0.2063	0
point-37	 0.1932	 0.2037	0
point-38	 0.2271	 0.1958	0
point-39	 0.2536	 0.1932	0
point-40	 0.2802	 0.1932	0
point-41	 0.2947	 0.1984	0
point-42	 0.3140	 0.2063	0
point-43	 0.3357	 0.2167	0
point-44	 0.3599	 0.2324	0
point-45	 0.3768	 0.2533	0
point-46	 0.3961	 0.2768	0
point-47	 0.4058	 0.2977	0
point-48	 0.4130	 0.3185	0
point-49	 0.4275	 0.3577	0
point-50	 0.4348	 0.3812	0
point-51	 0.1135	 0.2794	0
point-52	 0.1232	 0.2637	0
point-53	 0.1643	 0.2324	0
point-54	 0.1739	 0.2298	0
point-55	 0.1957	 0.2245	0
point-56	 0.2295	 0.2219	0
point-57	 0.2609	 0.2193	0
point-58	 0.2971	 0.2193	0
point-59	 0.3237	 0.2298	0
point-60	 0.3406	 0.2428	0
point-61	 0.3647	 0.2742	0
point-62	 0.3816	 0.2924	0
point-63	 0.3961	 0.3159	0
point-64	 0.4082	 0.3394	0
point-65	 0.2101	 0.1514	0
point-66	 0.2222	 0.1227	0
point-67	 0.2536	 0.0992	0
point-68	 0.2874	 0.0914	0
point-69	 0.3285	 0.0940	0
point-70	 0.3551	 0.1044	0
point-71	 0.3671	 0.1227	0
point-72	 0.3720	 0.1488	0
point-73	 0.3430	 0.1384	0
point-74	 0.3285	 0.1253	0
point-75	 0.3140	 0.1175	0
point-76	 0.2971	 0.1175	0
point-77	 0.2609	 0.1305	0
point-78	 0.2681	 0.1384	0
point-79	 0.2971	 0.1436	0
point-80	 0.3164	 0.1462	0
point-81	 0.3647	 0.1593	0
point-82	 0.3816	 0.1645	0
point-83	 0.3841	 0.1880	0
point-84	 0.3744	 0.1932	0
point-85	 0.3140	 0.1854	0
point-86	 0.2440	 0.1514	0
point-87	 0.2029	 0.6945	0
point-88	 0.1618	 0.7598	0
point-89	 0.2150	 0.8042	0
point-90	 0.2729	 0.8251	0
point-91	 0.3333	 0.8094	0
point-92	 0.3599	 0.7598	0
point-93	 0.3599	 0.7337	0
point-94	 0.3430	 0.6997	0
point-95	 0.3140	 0.6684	0
point-96	 0.2754	 0.6606	0
point-97	 0.2391	 0.6606	0
point-98	 0.2077	 0.6658	0
point-99	 0.1908	 0.6762	0
point-100	 0.1691	 0.7154	0
point-101	 0.1667	 0.7441	0
point-102	 0.1739	 0.7650	0
point-103	 0.2367	 0.8277	0
point-104	 0.3237	 0.8303	0
point-105	 0.3575	 0.8198	0
point-106	 0.3913	 0.7859	0
point-107	 0.3889	 0.7441	0
point-108	 0.3720	 0.7285	0
point-109	 0.3116	 0.6501	0
point-110	 0.2488	 0.6371	0
point-111	 0.2198	 0.6423	0
point-112	 0.1715	 0.6632	0
point-113	 0.1522	 0.6841	0
point-114	 0.1449	 0.7258	0
point-115	 0.1522	 0.7702	0
point-116	 0.1787	 0.7990	0
point-117	 0.1981	 0.8042	0
point-118	 0.2174	 0.8146	0
point-119	 0.2609	 0.8433	0
point-120	 0.2899	 0.8512	0
point-121	 0.3333	 0.8512	0
point-122	 0.3841	 0.8277	0
point-123	 0.4010	 0.7833	0
point-124	 0.4082	 0.7467	0
point-125	 0.4082	 0.7389	0
point-126	 0.3696	 0.6971	0
point-127	 0.3575	 0.6762	0
point-128	 0.3454	 0.6658	0
point-129	 0.3092	 0.6475	0
point-130	 0.2850	 0.6371	0
point-131	 0.2657	 0.6345	0
point-132	 0.1353	 0.7520	0
point-133	 0.1739	 0.7911	0
point-134	 0.2101	 0.8381	0
point-135	 0.2464	 0.8538	0
point-136	 0.2754	 0.8590	0
point-137	 0.3309	 0.8590	0
point-138	 0.3647	 0.8564	0
point-139	 0.2560	 0.7389	0
point-140	 0.2560	 0.7493	0
point-141	 0.2609	 0.7493	0
point-142	 0.2657	 0.7389	0
point-143	 0.2729	 0.7441	0
point-144	 0.2729	 0.7232	0
point-145	 0.2609	 0.7232	0
point-146	 0.2754	 0.7467	0
point-147	 0.2874	 0.7337	0
point-148	 0.2681	 0.7546	0
point-149	 0.6908	 0.4465	0
point-150	 0.6884	 0.5039	0
point-151	 0.7343	 0.5065	0
point-152	 0.7657	 0.4569	0
point-153	 0.7295	 0.4517	0
point-154	 0.7174	 0.4752	0
point-155	 0.6884	 0.4674	0
point-156	 0.7415	 0.4804	0
point-157	 0.6981	 0.6554	0
point-158	 0.6957	 0.6893	0
point-159	 0.7005	 0.6606	0
point-160	 0.7150	 0.6736	0
point-161	 0.7174	 0.6345	0
point-162	 0.7343	 0.6762	0
point-163	 0.7222	 0.6867	0
point-164	 0.8454	 0.1175	0
point-165	 0.8357	 0.1645	0
point-166	 0.8696	 0.1332	0
point-167	 0.8502	 0.1410	0
point-168	 0.8647	 0.1697	0
point-169	 0.8889	 0.1149	0
point-170	 0.8164	 0.1070	0
point-171	 0.2101	 0.4413	0
point-172	 0.2198	 0.4674	0
point-173	 0.2198	 0.4308	0
point-174	 0.2391	 0.4360	0
point-175	 0.2391	 0.4517	0
point-176	 0.2271	 0.4517	0
point-177	 0.2077	 0.4543	0
point-178	 0.8357	 0.8773	0
point-179	 0.8382	 0.9112	0
point-180	 0.8478	 0.8721	0
point-181	 0.8575	 0.8956	0
point-182	 0.8889	 0.8825	0
point-183	 0.8623	 0.9112	0
point-184	 0.8744	 0.8616	0
